Corpus	German	German	German	German	German	German	French	French	French	French	French	French	American English	American English	American English	American English	American English	American English
Painter	Pablo Picasso	Marc Chagall	Wassily Kandinsky	Henri Matisse	Paul Gauguin	Piet Mondrian	Pablo Picasso	Marc Chagall	Wassily Kandinsky	Henri Matisse	Paul Gauguin	Piet Mondrian	Pablo Picasso	Marc Chagall	Wassily Kandinsky	Henri Matisse	Paul Gauguin	Piet Mondrian
1909	1.515546188546324e-09	1.9071440458619448e-10	4.4035772250872185e-10	8.63845553819179e-09	1.0658495102384385e-08	0.0	3.0311566748661024e-10	0.0	0.0	3.3923758024911876e-08	4.344298229089613e-08	0.0	1.184790154873383e-09	2.013898373462045e-11	1.1022366352975155e-10	4.207871852544644e-09	3.019219263489248e-09	2.177480219943208e-11
1910	5.4218305004357805e-09	4.866450179338447e-10	7.341774886450634e-10	1.1709801398370904e-08	1.0785392579037989e-08	1.775583806968533e-10	1.2121996501817429e-09	0.0	0.0	3.4378785025117916e-08	2.6927629142343383e-08	0.0	2.5731521596001575e-09	2.013898373462045e-11	3.2032943757848946e-10	6.513058949307395e-09	5.453305188371108e-09	2.177480219943208e-11
1911	9.78990516431466e-09	3.9388331406011085e-09	6.73308064064975e-10	1.4284436427353903e-08	1.0429235570390866e-08	1.775583806968533e-10	2.64721620021494e-09	0.0	0.0	2.8372793130821653e-08	2.5626821553714763e-08	0.0	2.989800256576152e-09	2.013898373462045e-11	1.1256898984386104e-09	8.145650788802885e-09	6.774927238265402e-09	2.177480219943208e-11
1912	1.0982794935403867e-08	6.752259077266334e-09	6.73308064064975e-10	1.379504250514125e-08	9.271265215866314e-09	1.775583806968533e-10	2.64721620021494e-09	0.0	0.0	2.639401709890267e-08	2.1487222160284806e-08	0.0	3.2732484421339946e-09	2.013898373462045e-11	1.1634829885246285e-09	9.51340013115904e-09	7.477698476294442e-09	2.177480219943208e-11
1913	1.1330754406164395e-08	6.984232057773352e-09	6.087987177875018e-10	1.3419063638053785e-08	7.090328007259521e-09	1.775583806968533e-10	2.8041799438049964e-09	0.0	0.0	2.6076152507111975e-08	1.8498901965813275e-08	0.0	4.232151430892474e-09	2.013898373462045e-11	1.1996680077912864e-09	9.65686438750676e-09	7.364823211603826e-09	0.0
1914	1.3269109842641212e-08	9.362724127738784e-09	9.843501172898276e-10	1.180921119622472e-08	8.6292103621385e-09	1.775583806968533e-10	6.881396508173765e-09	0.0	0.0	2.9822440358476654e-08	1.742127102894691e-08	0.0	4.967461648368905e-09	0.0	1.1762616238174063e-09	9.243183393284734e-09	6.817773187276341e-09	0.0
1915	1.3897214712343953e-08	1.337852601717466e-08	9.902661230703253e-10	1.2059991545092835e-08	9.676051832790172e-09	1.775583806968533e-10	9.430848602054454e-09	0.0	0.0	3.142509868198877e-08	2.4162597763880252e-08	0.0	5.423186978857432e-09	0.0	1.196677372274278e-09	8.976948042059365e-09	7.000381084333794e-09	0.0
1916	1.8110364731681117e-08	1.734094090544147e-08	1.3675038244644254e-09	1.665108850801289e-08	1.2630844053213813e-08	3.0335158194917863e-10	1.7248869539037466e-08	3.9462208104420627e-10	0.0	3.780170002417752e-08	3.918433907504745e-08	0.0	5.544893242971836e-09	2.1702711056852715e-10	1.3347855321033109e-09	8.237942613778922e-09	9.335887095142579e-09	1.972973768487358e-11
1917	1.8747736791573695e-08	2.2011332502712222e-08	2.597383451176581e-09	1.8256507543818705e-08	2.994710904654799e-08	1.2579320125232536e-10	2.3046619247933464e-08	2.233592707615425e-09	0.0	5.968298842441908e-08	6.225658870968281e-08	0.0	4.8495757251235514e-09	4.627002114787615e-10	1.2191694122508169e-09	7.646288269214097e-09	1.3333998905018518e-08	1.972973768487358e-11
1918	1.849941936146341e-08	2.175195623621562e-08	3.6273227596187294e-09	2.398689082281992e-08	3.718954287381036e-08	1.2579320125232536e-10	2.87516218135307e-08	3.856324244060667e-09	1.0818210613042619e-10	7.01524509277058e-08	6.97308742810979e-08	0.0	5.62792390468303e-09	5.016003049426335e-10	5.974028057956612e-10	7.1806991781236155e-09	2.1698500504311165e-08	1.972973768487358e-11
1919	2.0132804598052952e-08	2.1533947514029705e-08	4.588588366414927e-09	2.4787434581087708e-08	4.002489311411799e-08	2.219197603459122e-10	3.497016749192434e-08	4.8049159254556375e-09	4.243793332620831e-10	1.1345107482035083e-07	8.164097030162663e-08	0.0	6.703958531163932e-09	8.271102731287933e-10	8.085291087438812e-10	6.6908317299306324e-09	2.697791360147964e-08	1.972973768487358e-11
1920	2.244061305032931e-08	2.6144845526638553e-08	5.5259181992133625e-09	2.6131834727851e-08	4.3154044782056644e-08	2.219197603459122e-10	4.057614688690592e-08	5.563197934068041e-09	5.760357349845638e-10	1.2291520334883899e-07	8.977734263940615e-08	0.0	1.1533971048091222e-08	3.2713189181331005e-09	1.447717560911142e-09	1.0517879424552592e-08	3.640297631589208e-08	9.202276995967651e-10
1921	2.4840702574278695e-08	3.04666171656111e-08	7.064727786903242e-09	2.6168438717531573e-08	4.958161335468146e-08	1.5619725275100344e-09	4.721203846916719e-08	1.0719847644478721e-08	5.760357349845638e-10	1.3061535294614908e-07	9.116572157503405e-08	0.0	1.5082066199109282e-08	4.452533790079625e-09	1.6393292279204275e-09	1.3633716441522178e-08	3.785318147819794e-08	9.202276995967651e-10
