Type	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular
Past	burned	dived	dreamed	dwelled	kneeled	learned	lighted	slinked	spilled	spoiled	strived	waked	burnt	dove	dreamt	dwelt	knelt	learnt	lit	slunk	spilt	spoilt	strove	woke
1847	1.4808143532718532e-05	6.101221937829646e-07	5.2362670430738945e-06	2.156565496339421e-07	1.0771033365537214e-06	9.934370297872062e-05	1.4590564595502136e-05	2.333233471509187e-09	4.212891399544917e-07	4.942863077823338e-06	8.103511766372711e-08	1.278728210049199e-06	2.3185045522820603e-05	5.1159674642674095e-06	2.144633331876581e-06	1.542851311699321e-05	4.408619523539008e-06	8.629804662112811e-06	5.0541813964498165e-06	4.3976187060122486e-07	1.1141535359066829e-06	7.976554375740566e-07	5.948330713830988e-06	1.7963412639281678e-06
1848	1.4800300440193886e-05	5.982854856613682e-07	5.233620023708292e-06	1.9871993117703823e-07	1.0238916193624651e-06	9.92513440516112e-05	1.4667750292574055e-05	3.3505372048254448e-09	4.226090441404397e-07	4.9001723709807266e-06	7.632711580234692e-08	1.2499234409395804e-06	2.312488322786521e-05	5.178404340508028e-06	2.1667661128179006e-06	1.5176833845284168e-05	4.394528787088348e-06	8.613222494854458e-06	5.20033901401413e-06	4.300872059762436e-07	1.103062670283959e-06	7.946612835699593e-07	5.8678938330558594e-06	1.8232650680667056e-06
1849	1.4636668830852223e-05	6.158749101814465e-07	5.335500710706194e-06	1.8310283727324922e-07	9.957121522217806e-07	9.82281334082862e-05	1.4833093960727897e-05	3.3547454576193e-09	4.3286747849638883e-07	4.899387347125282e-06	6.337420746912617e-08	1.2452437009155152e-06	2.2824301985175615e-05	5.232833180863443e-06	2.164040162304965e-06	1.519954054986426e-05	4.41608205749487e-06	8.636248951786132e-06	5.436153969640145e-06	4.301670831604757e-07	1.0887195490535565e-06	8.393530898891706e-07	5.777285228500009e-06	1.8814050528297749e-06
1850	1.4611119825401278e-05	6.009234831643491e-07	5.379003726245303e-06	1.853353158561991e-07	9.822141464610468e-07	9.953509808318424e-05	1.4869501813206756e-05	3.1443340233115536e-09	4.351947739321206e-07	4.893568464987246e-06	6.123014374890903e-08	1.2861031564170844e-06	2.2926384450069497e-05	5.212786293538686e-06	2.1375286191219596e-06	1.5196386812021956e-05	4.388019338616037e-06	8.81061623658752e-06	5.642293997100621e-06	4.271901242905837e-07	1.0825113707012081e-06	8.624670775654002e-07	5.751222878253819e-06	1.932188346082902e-06
1851	1.4528721294482239e-05	6.029931276836058e-07	5.4512229975703775e-06	1.7508010736427033e-07	9.695117374316657e-07	9.993368439609185e-05	1.4981255325048032e-05	3.1036254994581166e-09	4.3364171428298247e-07	4.883189766197964e-06	5.936446153701322e-08	1.296324009152678e-06	2.2575973551803535e-05	5.249277429746664e-06	2.1508996854078888e-06	1.5162732649644437e-05	4.294726750231348e-06	8.936826686424735e-06	5.943726981578428e-06	4.308143307493343e-07	1.0972864369510456e-06	8.904609753049694e-07	5.747735225928149e-06	1.9695274724134445e-06
1852	1.4745588746986219e-05	5.892560709850971e-07	5.421218442539352e-06	1.5511797560715683e-07	9.456826351847017e-07	9.986265545843967e-05	1.5037435072632174e-05	4.321163189174066e-09	4.30646943121766e-07	4.843593680042042e-06	5.493565678550892e-08	1.2857924502895912e-06	2.2509055010492114e-05	5.164845593493997e-06	2.095378379505876e-06	1.524163963040337e-05	4.261815580061271e-06	8.942862742904773e-06	6.177098319832501e-06	4.2804610091349916e-07	1.1113259980837548e-06	9.177826265321138e-07	5.6462328237622776e-06	1.9795511434494983e-06
1853	1.5058172851110743e-05	5.887590970944854e-07	5.536324546743085e-06	1.545852086337618e-07	9.434075666701704e-07	0.00010082636851750846	1.5059439387446868e-05	4.7698343132372506e-09	4.3860513950936107e-07	4.848461425613745e-06	5.5077044639314665e-08	1.3135532006864587e-06	2.237155630219994e-05	5.1132177369644135e-06	2.0730523634223833e-06	1.5037221861088515e-05	4.250599106723842e-06	8.930258185760717e-06	6.326337175518607e-06	4.250086565856951e-07	1.1331347715375678e-06	9.502558181598683e-07	5.5575918460298065e-06	1.986111978372459e-06
1854	1.5224364168326637e-05	5.899160230780711e-07	5.5207571806801885e-06	1.4667541238720462e-07	9.483694124615535e-07	0.00010041522494118129	1.488064702113791e-05	5.830357284265984e-09	4.469349132055608e-07	4.776881074316666e-06	5.803601104454563e-08	1.3298549187571292e-06	2.233892753013476e-05	5.0077768979203285e-06	2.0523602870525792e-06	1.475381239807965e-05	4.285240330708413e-06	9.078335746640473e-06	6.3594474600644646e-06	4.242375390666504e-07	1.1168642361423866e-06	9.756115722276654e-07	5.498045993590495e-06	2.0152660584114656e-06
1855	1.53269424377608e-05	5.870856024817581e-07	5.520094548826039e-06	1.6390535912640708e-07	9.738715870558475e-07	9.88160224681321e-05	1.4775922604063193e-05	5.355695133411688e-09	4.4092978766587164e-07	4.777304379136435e-06	5.926564737381211e-08	1.3265283119575803e-06	2.206942813895044e-05	4.88248516765972e-06	2.014986616164346e-06	1.447948060168918e-05	4.306470600567991e-06	9.179434528050479e-06	6.4706164916320375e-06	4.368045592530377e-07	1.1137691769493228e-06	1.0026076568335287e-06	5.435071735908943e-06	2.0364300001217217e-06
1856	1.55791066000737e-05	5.742335084895396e-07	5.460772107263827e-06	1.6443702577362274e-07	9.706059651242477e-07	9.790712439488354e-05	1.4611611082468049e-05	6.7646346064392e-09	4.476861801906905e-07	4.750474805145391e-06	5.773142269000735e-08	1.3213937921006748e-06	2.190502345911227e-05	4.8255055844492745e-06	1.9918728152593497e-06	1.429136422562546e-05	4.247638051830498e-06	9.252268033118785e-06	6.456702521973057e-06	4.44785253453769e-07	1.0995373876150033e-06	1.0067871098077115e-06	5.397375973968467e-06	2.0447779921336666e-06
1857	1.596431723425797e-05	5.739998008331375e-07	5.489184591819399e-06	1.5691104238158005e-07	9.587761106948683e-07	9.473123749817855e-05	1.4653667936467432e-05	7.395694001655073e-09	4.515908804998097e-07	4.776538844453171e-06	5.43372006437234e-08	1.2925195765741852e-06	2.1642419077189906e-05	4.791993952884306e-06	1.9773889172418942e-06	1.4201815637144527e-05	4.268182042973681e-06	9.26059770530888e-06	6.59549082878844e-06	4.4669453050768683e-07	1.0907539912555616e-06	1.0241763561680273e-06	5.3726816336815574e-06	2.0949992501430515e-06
1858	1.6247986942679355e-05	5.679669194640675e-07	5.3958071605718165e-06	1.5826270376757228e-07	9.359174068127427e-07	9.268911838132356e-05	1.4553546731934017e-05	8.627717714862878e-09	4.59118187531463e-07	4.764080975811729e-06	5.225630620283742e-08	1.2638578092654434e-06	2.1632825986931232e-05	4.622414767904307e-06	1.9963282349116137e-06	1.3834366135207737e-05	4.249796022902176e-06	9.409104417760058e-06	6.49638091739949e-06	4.4950007804800407e-07	1.0719702946257063e-06	1.071391190115329e-06	5.174104704305396e-06	2.1281064813852675e-06
1859	1.6285612218780443e-05	5.612804037420054e-07	5.3553395186359665e-06	1.4832462673959007e-07	9.178848553606908e-07	9.045766637427732e-05	1.4586571004266652e-05	8.228335219533683e-09	4.6139841661637805e-07	4.8142540306019195e-06	5.267725912615008e-08	1.217403613346895e-06	2.1503687613793382e-05	4.558040927804541e-06	2.101914982891425e-06	1.3491391395551286e-05	4.19080749582333e-06	9.719828865075084e-06	6.639950113042557e-06	4.549628321066328e-07	1.0540221475301742e-06	1.1504701140958268e-06	5.101656240315476e-06	2.2260280080185372e-06
1860	1.6294038817120183e-05	5.593517065400582e-07	5.2765610364856134e-06	1.430853688231894e-07	8.837761405240079e-07	8.791325152352718e-05	1.4540742215883387e-05	8.625146501779163e-09	4.657909065437187e-07	4.81731318099524e-06	5.122690538428287e-08	1.1788369615065416e-06	2.1550572325525407e-05	4.510862709139474e-06	2.148696434492844e-06	1.3291641412901559e-05	4.088180958206067e-06	9.839512780932377e-06	6.7560787491467115e-06	4.590971757677055e-07	1.0261835378904444e-06	1.1772234204597356e-06	5.030640685228198e-06	2.296048056190817e-06
1861	1.6736581268820112e-05	5.491981645328841e-07	5.262368696483983e-06	1.4906345313647762e-07	8.605627174672139e-07	8.578696101072378e-05	1.4547609550520843e-05	7.657002999904096e-09	4.6974467896429163e-07	4.822271551217584e-06	4.4540411993563925e-08	1.1512139183521088e-06	2.1030500907467547e-05	4.4060759916776855e-06	2.1712357270839026e-06	1.2952349737003845e-05	4.024279470676058e-06	9.925156778730784e-06	6.8826652750431094e-06	4.594264493919452e-07	1.0184126365077515e-06	1.2108539684569614e-06	4.9691897662082085e-06	2.3719194034908597e-06
1862	1.693529624649922e-05	5.669024858434568e-07	5.297164989315206e-06	1.2966209185703648e-07	8.210868389012051e-07	8.453433214786596e-05	1.4794725107744203e-05	8.54745801121786e-09	4.774735568194696e-07	4.8171483675624974e-06	4.188876394956813e-08	1.1466856416778422e-06	2.109771360535108e-05	4.394397949779107e-06	2.204882386130131e-06	1.2939917723997496e-05	3.995513257645403e-06	1.0071755761081086e-05	6.888746936186051e-06	4.608476485503031e-07	1.0075941970301625e-06	1.2820772131557793e-06	5.012085953889514e-06	2.4655487972527875e-06
1863	1.7350318947657278e-05	5.691633029008309e-07	5.379648493024953e-06	1.320232131872347e-07	7.959358835510752e-07	8.323854646213087e-05	1.4939504321124072e-05	6.804077967714761e-09	4.833381167048043e-07	4.746440871323492e-06	4.1066871554156544e-08	1.1477114542555813e-06	2.113817078809786e-05	4.357933903520461e-06	2.2643741236346874e-06	1.278281186906887e-05	3.985012686566084e-06	1.0113996333010228e-05	6.975059347626354e-06	4.6444560147002836e-07	9.91150256725502e-07	1.3343915108115262e-06	5.040671567257959e-06	2.5520533394488406e-06
1864	1.749394297283808e-05	5.710290581971224e-07	5.339669834419121e-06	1.3199472448377492e-07	7.781734439049615e-07	8.229402218213571e-05	1.5008980881248135e-05	6.170020272477927e-09	4.784703711331011e-07	4.693839270787846e-06	4.203887523804692e-08	1.1271113342965172e-06	2.1011654618113035e-05	4.308737061364809e-06	2.2718033311061196e-06	1.2477563489353218e-05	3.958504424060395e-06	1.016825132994979e-05	6.964952197969458e-06	4.6784930012628525e-07	9.696198048914084e-07	1.3797426358256156e-06	4.965660407054072e-06	2.5735620446149758e-06
1865	1.7417377291297142e-05	5.781380666901117e-07	5.444694514673236e-06	1.33147685638895e-07	7.845853328295302e-07	8.148437856496977e-05	1.5244912382123793e-05	5.641217302811339e-09	4.847824430141503e-07	4.6736655739160985e-06	4.254231151484029e-08	1.1178368920030022e-06	2.0624131398757788e-05	4.36285219101202e-06	2.229663388269338e-06	1.2279936657120874e-05	3.971015173322355e-06	1.0195309966677866e-05	7.113904043113248e-06	4.724370674986338e-07	9.650715193337028e-07	1.4337670920992553e-06	4.9387896459458195e-06	2.6521386839054425e-06
1866	1.735912805348302e-05	5.892642970398551e-07	5.536574982605609e-06	1.3814267114347395e-07	7.835456179756355e-07	8.159941145485001e-05	1.535720379511726e-05	5.086223854787266e-09	4.825944748582905e-07	4.67952453878492e-06	4.0231460321901325e-08	1.1445780013933212e-06	2.0314552135200108e-05	4.380349829651615e-06	2.1820648531242374e-06	1.2276196555051553e-05	4.026231311269969e-06	1.0022246767351004e-05	7.074236366731514e-06	4.790681121643761e-07	9.474823709102306e-07	1.4220595403457992e-06	4.930741462365924e-06	2.6719210057178444e-06
1867	1.719745757457401e-05	5.967768775657792e-07	5.5879016014971834e-06	1.3745700552395386e-07	7.851262142009676e-07	8.175090936544751e-05	1.547483524128828e-05	5.017761983694413e-09	4.7230687170797735e-07	4.691587816653607e-06	3.7266537030892066e-08	1.161816222910212e-06	2.0011501744323012e-05	4.332987438309439e-06	2.1396304288958035e-06	1.2180225244914514e-05	4.0880416106249736e-06	9.956901262090209e-06	7.078437257795096e-06	4.793383823198383e-07	9.422461500564947e-07	1.4470262580549128e-06	4.8889419304032344e-06	2.706956658065402e-06
1868	1.6977516289833667e-05	5.928229224342171e-07	5.637900293160263e-06	1.4178780410085373e-07	7.747762781816294e-07	8.139858878816344e-05	1.556137158331694e-05	4.8912253612444695e-09	4.677622809724978e-07	4.745386766964137e-06	3.784446051773622e-08	1.148172129563006e-06	2.0323954751282664e-05	4.343336123773562e-06	2.0950755502521394e-06	1.232614795299014e-05	4.025270982310758e-06	9.879535874850781e-06	7.110083970474079e-06	4.7664359824141555e-07	9.321627041052645e-07	1.4856775578664383e-06	4.85808751753731e-06	2.708037560036506e-06
1869	1.7643448570327435e-05	5.610285183723005e-07	5.626462617718582e-06	1.43168774359635e-07	7.378753658875732e-07	8.156025017212545e-05	1.5265945486524807e-05	3.2269983352151144e-09	4.613890780547081e-07	4.681245367724582e-06	3.518436640449961e-08	1.1724097573408341e-06	1.9871911458072384e-05	4.301887331946221e-06	2.0515751982332276e-06	1.2156497697495589e-05	4.000886649789338e-06	9.675934701850305e-06	7.2250634600225434e-06	4.6006890183239844e-07	9.051806192214176e-07	1.4692349493218768e-06	4.653047848738165e-06	2.7337856148993263e-06
1870	1.738467342095516e-05	5.609498470805972e-07	5.626534207944392e-06	1.4594181355473017e-07	7.230577563989624e-07	8.165190541019131e-05	1.5136907417659781e-05	3.7650695101325886e-09	4.460458374718915e-07	4.72301066370814e-06	3.463617659349438e-08	1.1536967739240417e-06	1.9542439726397527e-05	4.291592436597316e-06	1.975727546518361e-06	1.2104611674398516e-05	3.989741019592787e-06	9.66648349276511e-06	7.291224652103015e-06	4.4067948173116225e-07	8.846955016191973e-07	1.4845865377667775e-06	4.5029698542618594e-06	2.7501825375761006e-06
1871	1.7331983274613905e-05	5.499073470868357e-07	5.641630650643492e-06	1.4403702205559705e-07	6.878950427692741e-07	8.085519324855081e-05	1.5047253067937813e-05	3.875221270861167e-09	4.507387245666905e-07	4.639480266632745e-06	3.289602596672532e-08	1.1494639855819905e-06	1.918837577769799e-05	4.246305252308957e-06	1.9559424962218534e-06	1.1888277965356662e-05	3.92857993704508e-06	9.59929470159945e-06	7.392118537349493e-06	4.3258821896025826e-07	8.758901637000755e-07	1.4999145443133394e-06	4.458143913715114e-06	2.762625302109102e-06
1872	1.7478682431309217e-05	5.531090120517287e-07	5.576064462989702e-06	1.4468466348814347e-07	6.566246091616839e-07	8.113615954893508e-05	1.4970115704012901e-05	3.693419078513013e-09	4.4025233592037694e-07	4.659102030148331e-06	3.584143724668008e-08	1.1500615885649625e-06	1.8970328840493623e-05	4.193034393600621e-06	1.936423261992916e-06	1.1924469747879942e-05	3.872862082841623e-06	9.36822367033788e-06	7.414102128677769e-06	4.1919733462236763e-07	8.449512084293279e-07	1.4724903719200353e-06	4.40952667954012e-06	2.733795359485417e-06
1873	1.7829042657727507e-05	5.508594256298238e-07	5.427649999286846e-06	1.5243298382269392e-07	6.330591466913964e-07	8.009546062177313e-05	1.4702353577636781e-05	3.497929802952017e-09	4.345452282450424e-07	4.560799944946277e-06	3.5599480696646424e-08	1.1366588523742394e-06	1.875878349112879e-05	4.1057634397085555e-06	1.8982272617254888e-06	1.1714167158061173e-05	3.7617138397243773e-06	9.269314952169744e-06	7.44140996695413e-06	3.974853370891651e-07	8.330366085829155e-07	1.4758408042325755e-06	4.3213123847505945e-06	2.6646589828617706e-06
1874	1.8102427929989062e-05	5.359431278455824e-07	5.354665842917582e-06	1.5458970636927916e-07	6.180497231460842e-07	7.85528848479901e-05	1.4480160643870477e-05	2.9481347046151588e-09	4.375951172213328e-07	4.481132886472291e-06	3.296588678227051e-08	1.1069604884791521e-06	1.848656652977557e-05	4.03748712025325e-06	1.8776360418217206e-06	1.1522171527238762e-05	3.681785788752937e-06	9.185456422398732e-06	7.5162446202219665e-06	3.818108536636698e-07	8.136133179245267e-07	1.476745978834515e-06	4.287746768178684e-06	2.6478029277703693e-06
1875	1.8148442125363674e-05	5.378046036444825e-07	5.267555609732101e-06	1.4743596819601278e-07	5.781878046816149e-07	7.784236056197966e-05	1.4363640860080653e-05	3.1606448728079985e-09	4.311741617714558e-07	4.3842958023430715e-06	3.082116910897119e-08	1.0891153091766422e-06	1.781772308666924e-05	3.901516850289356e-06	1.852386974730637e-06	1.1138898246697084e-05	3.620499066008571e-06	8.997283267880058e-06	7.498811425778383e-06	3.7134182256132977e-07	7.853456947616775e-07	1.4777921575971829e-06	4.225321585441374e-06	2.613350261526648e-06
1876	1.756467177723867e-05	5.474527142723673e-07	5.222279144488441e-06	1.4960098379138538e-07	5.759443817104122e-07	7.67413605769564e-05	1.4490616714673316e-05	3.233547144329155e-09	4.2907531597588135e-07	4.3998983138798005e-06	3.0948341032756484e-08	1.0531268961650703e-06	1.75752323100044e-05	3.78826494592691e-06	1.824979774158107e-06	1.0946123698626512e-05	3.5665323139255634e-06	8.924434951040894e-06	7.5132341277951904e-06	3.7609617363289415e-07	7.670459548795147e-07	1.4811952106746112e-06	4.259777142578969e-06	2.5925290044272387e-06
1877	1.792775427540099e-05	5.561669971549626e-07	5.166345415221128e-06	1.3918339598311441e-07	5.793426112177258e-07	7.690049408535873e-05	1.4439455688781372e-05	3.4737920476654185e-09	4.2913178991251956e-07	4.391401359628487e-06	2.9571745687105378e-08	1.0695297467983828e-06	1.7447413223895376e-05	3.6878888230213695e-06	1.8037251428333029e-06	1.0860317940699002e-05	3.5172443923719195e-06	8.807885543709354e-06	7.545261983718124e-06	3.8227709150565457e-07	7.612484945899009e-07	1.4888826821593933e-06	4.275695963380193e-06	2.552439517395604e-06
1878	1.8083209787229343e-05	5.552028759276644e-07	5.126022188051138e-06	1.3624162318949728e-07	5.841465865939557e-07	7.73729947728238e-05	1.4380794969578606e-05	3.748871879594162e-09	4.324152809788627e-07	4.398079064620626e-06	3.0958902742993036e-08	1.0673465047667768e-06	1.7138874682132155e-05	3.674732202593337e-06	1.7778245689571901e-06	1.0974122103237147e-05	3.475025453423898e-06	8.628362853154872e-06	7.68203985249524e-06	3.7400483928909776e-07	7.502801752577528e-07	1.455494888042657e-06	4.28706666103348e-06	2.5504144299962457e-06
1879	1.8448537957738154e-05	5.345652880350826e-07	5.119640848403963e-06	1.3227605981975493e-07	5.682675074630035e-07	7.808250770072586e-05	1.4357311686451015e-05	3.658303342796947e-09	4.3334062281376517e-07	4.338862709118985e-06	2.6211637812626317e-08	1.0586032073790972e-06	1.6955796257077183e-05	3.5823104878675494e-06	1.7774465114988352e-06	1.0878279811419946e-05	3.4271104141225806e-06	8.545279992436658e-06	7.823814160344358e-06	3.6949994556120404e-07	7.457739944324462e-07	1.438828836139042e-06	4.380160135042388e-06	2.5267035458195356e-06
1880	1.8630761717629086e-05	5.309966500785126e-07	5.216944373387378e-06	1.3040146334170849e-07	5.748179968837316e-07	7.874376647773065e-05	1.4546814132440236e-05	3.387518392778637e-09	4.3808695490302594e-07	4.3431945674196215e-06	2.8182958696934942e-08	1.048782402384469e-06	1.668362866829349e-05	3.5924291361360313e-06	1.7592305994185153e-06	1.0914630495660407e-05	3.4202344068035018e-06	8.320345256964043e-06	7.944005054533981e-06	3.77157411841316e-07	7.389478793941504e-07	1.442346469307917e-06	4.383331218247934e-06	2.55162331086467e-06
1881	1.8683290233769056e-05	5.3019278668996e-07	5.198894021824734e-06	1.217766337293012e-07	5.577092971569593e-07	7.871683504033302e-05	1.4686319186044525e-05	3.53490148263802e-09	4.4074618342295123e-07	4.296608559733224e-06	2.8809058250089947e-08	1.0563502590749913e-06	1.639387976735764e-05	3.5655475585372187e-06	1.7396585982558982e-06	1.0839243519252964e-05	3.3793037346185884e-06	8.19324519138068e-06	8.013822740135115e-06	3.8281327517454754e-07	7.439011174678203e-07	1.4373779971979924e-06	4.296860067500217e-06	2.5494329877671717e-06
1882	1.89250848572036e-05	5.262088344742162e-07	5.187063314744071e-06	1.215238490155051e-07	5.553682415536189e-07	7.866228926494452e-05	1.4789388322762015e-05	3.4748456810364458e-09	4.5525096327634985e-07	4.304272806621157e-06	3.046741043582253e-08	1.0354758696199236e-06	1.6351102853410078e-05	3.5802076386711893e-06	1.7255925643309768e-06	1.0902805245547955e-05	3.3272630324583067e-06	8.072896564824208e-06	8.08059485279955e-06	3.7945397934890934e-07	7.40129085638078e-07	1.414880947387636e-06	4.234054715977566e-06	2.5028328504309423e-06
1883	1.926930651409618e-05	5.121060025560707e-07	5.202581827948702e-06	1.1860941587623789e-07	5.386529673095148e-07	7.878318241897173e-05	1.475779728415156e-05	3.6365346607019386e-09	4.668779029413729e-07	4.224442039100852e-06	2.97924965967208e-08	1.024542492749398e-06	1.590935646942983e-05	3.541865453371429e-06	1.6858455507774904e-06	1.0728028298347323e-05	3.2171314744898283e-06	7.832257454408267e-06	8.089087454469076e-06	3.742470937595499e-07	7.334150739422642e-07	1.4007584435863204e-06	4.16295132968766e-06	2.452227850621317e-06
1884	1.935417744139808e-05	4.894335623768191e-07	5.159195292695326e-06	1.2244252189930194e-07	5.154634103681539e-07	7.972170819162525e-05	1.4807574838674295e-05	3.006830086503344e-09	4.72803666947844e-07	4.208250174997374e-06	3.028537674611341e-08	1.0090273414269696e-06	1.5430133446768324e-05	3.4711470107140485e-06	1.6738789229618436e-06	1.041123115490856e-05	3.1634534869746337e-06	7.642825169438896e-06	8.069737759797135e-06	3.5977453600415696e-07	7.235247413258808e-07	1.3638337382612268e-06	4.050493446681815e-06	2.4625489264248505e-06
1885	1.9564483279412214e-05	4.839942562284705e-07	5.214381352353874e-06	1.2604626371220157e-07	4.910763818445827e-07	8.01985921238416e-05	1.488240260576796e-05	2.5931168323722886e-09	4.7372769732386845e-07	4.189796007787143e-06	2.7273215812735023e-08	1.0027479463912771e-06	1.5134877815268868e-05	3.414979768682055e-06	1.6434410911512844e-06	1.0148668090031216e-05	3.122280044668254e-06	7.474981495241602e-06	7.931638005434902e-06	3.590839087662191e-07	7.197049041808765e-07	1.3683073802894796e-06	3.96940540018217e-06	2.430328614926631e-06
1886	1.957264326587652e-05	4.857171315312112e-07	5.224199997298586e-06	1.350080245694179e-07	4.868548647404428e-07	7.799552050918075e-05	1.4886648516819281e-05	2.317707169043258e-09	4.780603514323698e-07	4.200523302902834e-06	2.7806347700577916e-08	9.848420258354703e-07	1.4810117785860452e-05	3.376408812982845e-06	1.610750327277596e-06	9.943198165274225e-06	3.0460580221967703e-06	7.36799126700914e-06	7.80046899048362e-06	3.6297987955029906e-07	7.010814247873245e-07	1.3652995676238788e-06	3.788204432047288e-06	2.4435324641152486e-06
1887	1.9718821671891158e-05	4.820800053754024e-07	5.231778881612367e-06	1.3026276235450496e-07	4.613850868346552e-07	7.705439618023644e-05	1.4778542858299001e-05	2.39672675356977e-09	4.872360161048814e-07	4.185802091732123e-06	2.4565869084978787e-08	9.806940641153363e-07	1.4589992393406906e-05	3.3004349851190843e-06	1.5722461057521286e-06	9.709327059681527e-06	2.966560487038805e-06	7.337509487115312e-06	7.706113527612096e-06	3.5076022949657014e-07	6.810493817153786e-07	1.3529407202180925e-06	3.734614340698629e-06	2.444656567084686e-06
1888	1.994522296757038e-05	4.779100249509481e-07	5.2614058664143414e-06	1.3679784314847764e-07	4.453710248851296e-07	7.675483980814793e-05	1.4839700140458132e-05	2.242714173103114e-09	4.861658169375005e-07	4.19137372123909e-06	2.3807252296543472e-08	9.724094606359098e-07	1.4322234164865222e-05	3.2482983637497194e-06	1.5436033891091938e-06	9.572291544048181e-06	2.928193290634746e-06	7.229263636483145e-06	7.675558273539146e-06	3.534764638451244e-07	6.551161472348863e-07	1.3481103126520923e-06	3.68908435380685e-06	2.4330807783761495e-06
1889	2.012984909275214e-05	4.858767925140585e-07	5.3553434164704024e-06	1.3908932317008293e-07	4.360490330717377e-07	7.597866871427479e-05	1.5011116374807898e-05	2.763541903253294e-09	4.833287131792272e-07	4.168910891166888e-06	2.2306951714361796e-08	9.968600482222558e-07	1.392018176764915e-05	3.1990660188187448e-06	1.5264330548753996e-06	9.409532789764593e-06	2.9411475484916342e-06	7.228931476025277e-06	7.621236233847282e-06	3.61037316614394e-07	6.428969965911944e-07	1.3582919109467184e-06	3.651933898903995e-06	2.477571505161385e-06
1890	2.0120192597719972e-05	4.980270367533584e-07	5.410755875345785e-06	1.385919757370045e-07	4.4822629417597325e-07	7.524332717626489e-05	1.5221234337202208e-05	2.7643326675327475e-09	4.84544894366731e-07	4.181406503838454e-06	2.2897090699659983e-08	1.0136319100898357e-06	1.3873135815499285e-05	3.203995999813612e-06	1.5308793633396687e-06	9.420983328059915e-06	3.006216047651833e-06	7.251131786948203e-06	7.5828504902476975e-06	3.5969890989560683e-07	6.340692298830877e-07	1.3595026595274767e-06	3.6545643199912903e-06	2.4684490784108803e-06
1891	2.031411090034193e-05	5.046902101314897e-07	5.464641487508613e-06	1.3689807230678396e-07	4.398025786096176e-07	7.286623440450057e-05	1.5375105509260072e-05	3.05795147933655e-09	4.969773336987211e-07	4.1616397408818425e-06	2.2935947997991335e-08	1.002829825275902e-06	1.377092446221338e-05	3.1906902222544886e-06	1.5063679451746533e-06	9.38164807199168e-06	2.9906399114614553e-06	7.204184320081757e-06	7.576767724718333e-06	3.647013784302544e-07	6.155767826904983e-07	1.3577754803658796e-06	3.6481956807879864e-06	2.4320511004459277e-06
1892	2.0459062008220436e-05	5.206262220066751e-07	5.436635547084734e-06	1.4002595045375138e-07	4.500277514450447e-07	7.088041248997407e-05	1.5356430204909494e-05	2.911916406413338e-09	5.021041390916383e-07	4.147932291484072e-06	2.4583166994115605e-08	1.0122227292543227e-06	1.3570770144204808e-05	3.131323475307519e-06	1.495508903255021e-06	9.249922186427284e-06	2.9599269899855633e-06	7.144449747491828e-06	7.628211733390344e-06	3.7237686407414525e-07	5.927495781829098e-07	1.3501442189018625e-06	3.5744779519778343e-06	2.4345534776719953e-06
1893	2.06819373228687e-05	5.399883978693001e-07	5.494907392338584e-06	1.2751539811363598e-07	4.481921556427031e-07	7.033483832076724e-05	1.5398713393161806e-05	3.0787289701755024e-09	5.105810357365823e-07	4.130450569001758e-06	2.4315135809566916e-08	1.0197671177333438e-06	1.3421440598904155e-05	3.108948736293574e-06	1.4833398316633456e-06	9.218929335474968e-06	3.03125674301035e-06	7.059570504809796e-06	7.698757989211507e-06	3.7990653822816967e-07	5.943479257959032e-07	1.3659893056683359e-06	3.563927845919222e-06	2.4652473322411036e-06
1894	2.080577204261707e-05	5.451160477930119e-07	5.453284432275853e-06	1.2331595452711293e-07	4.396640187159002e-07	6.900458642381377e-05	1.538650615527461e-05	3.5314178089710222e-09	5.112320634127952e-07	4.102688243230139e-06	2.566650485797644e-08	1.0029391351703713e-06	1.3133574611856602e-05	3.043794712149455e-06	1.4553668766633824e-06	9.077180038730148e-06	3.045472080235153e-06	6.952536880687278e-06	7.739316320761905e-06	3.77584651037718e-07	5.823439112516228e-07	1.3499201259037363e-06	3.4580175776812083e-06	2.4399144292276887e-06
1895	2.1059898894496394e-05	5.624566727289806e-07	5.477259752037103e-06	1.2043727488324813e-07	4.3954096083455495e-07	6.806787548287372e-05	1.5378416459757966e-05	3.5191201857338275e-09	5.33966661870571e-07	4.0689604117817775e-06	2.6139746367448424e-08	9.807258639479447e-07	1.291908899604875e-05	3.0082884937395908e-06	1.428568079323408e-06	8.989101843326353e-06	3.1059498074422924e-06	6.901496362843318e-06	7.733030023311066e-06	3.8731304487425534e-07	5.834581072252019e-07	1.3370266742640524e-06	3.4626096489124133e-06	2.4524602589995733e-06
