Type	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular
Past	burned	dived	dreamed	dwelled	kneeled	learned	lighted	slinked	spilled	spoiled	strived	waked	burnt	dove	dreamt	dwelt	knelt	learnt	lit	slunk	spilt	spoilt	strove	woke
1810	1.0554247637628578e-05	3.069946866876957e-07	2.186178367732542e-06	6.262381962837285e-07	1.553493900376322e-06	0.0001265528709544534	9.102823176882729e-06	5.596334078689884e-09	3.0201793573983847e-07	5.94552511756774e-06	5.5108177069281994e-08	1.4112795107783832e-06	3.417790711474871e-05	4.686028140505576e-06	1.55121730520997e-06	1.2603452757632891e-05	9.433940298159931e-07	1.1283598074182269e-05	4.535378236271624e-06	2.2918803007801865e-07	1.8937530187810938e-06	3.8374219002434984e-07	5.055702916121975e-06	4.7214637431482386e-07
1811	1.0322666509767129e-05	3.112797060111916e-07	2.2075761470270142e-06	5.644105962281693e-07	1.4628611617289217e-06	0.00013175398635212332	8.965442313118338e-06	6.768253909708985e-09	3.119281676130673e-07	5.725682383074725e-06	6.180474697105507e-08	1.3812221888136783e-06	3.446971095399931e-05	4.545475933680011e-06	1.51016164246747e-06	1.280548271357215e-05	9.421591633846609e-07	1.164711024362727e-05	4.127808649302876e-06	2.3519578056558593e-07	1.9058646785197197e-06	4.160039241339421e-07	5.018866691638582e-06	4.976892366162897e-07
1812	9.91960600263805e-06	3.1419395034910327e-07	2.0710633309915593e-06	5.386732644702923e-07	1.424245559584441e-06	0.0001351041885625039	9.296521511714673e-06	4.1295403445979724e-09	3.09022953258266e-07	5.253389320257286e-06	6.724822197514055e-08	1.3918336208007531e-06	3.461415534340111e-05	4.408975135967401e-06	1.4599183292115673e-06	1.3007083388012169e-05	1.0349642626091996e-06	1.1995196083652055e-05	3.897840965042373e-06	2.2951164981220374e-07	1.7959679813169975e-06	4.2345996575932077e-07	4.885355922721958e-06	5.33874149206375e-07
1813	9.60319084697403e-06	3.0328363972590265e-07	2.0485376158571204e-06	4.99131406935963e-07	1.471402177750341e-06	0.0001406212301974717	9.211238453385054e-06	4.517499152534299e-09	3.0858432507687083e-07	5.0964903753733126e-06	6.70569154489645e-08	1.3791581068289815e-06	3.459476855433812e-05	4.461954566587727e-06	1.4641905344043543e-06	1.3193281639749849e-05	1.0947545579905897e-06	1.1842375637830368e-05	3.941649245981742e-06	2.2648217168352858e-07	1.7767943388337568e-06	4.137786382736002e-07	4.793757235737368e-06	5.33825349131283e-07
1814	9.44270375059984e-06	3.2621168039830603e-07	1.9789465081235643e-06	4.4008681600514266e-07	1.3287364838886009e-06	0.00014170742880586267	9.374692321476427e-06	3.0524242657291113e-09	3.27135820400924e-07	4.906193745617722e-06	6.558210533366296e-08	1.3038527250890702e-06	3.3512086052464186e-05	4.234042015533694e-06	1.5099063830348314e-06	1.3236283068960932e-05	1.1562214581317676e-06	1.1963465762424416e-05	3.81805096237388e-06	2.2915626678760808e-07	1.6796423096820945e-06	4.291723436316326e-07	4.342222934740546e-06	5.234790510907519e-07
1815	9.391534929039023e-06	3.583797812163019e-07	1.9276000427583184e-06	3.763373744699753e-07	1.2660544988258543e-06	0.00014295846215515797	9.604012055725824e-06	2.8170610606131116e-09	3.321384188633861e-07	4.806095668235295e-06	6.211271700148505e-08	1.2444184156785404e-06	3.326683430974039e-05	4.361430585829242e-06	1.4887425062884825e-06	1.3243302029357957e-05	1.2389551622098743e-06	1.190590332303795e-05	3.6995922008437835e-06	2.2820030259091644e-07	1.6518614042329967e-06	4.597476837326602e-07	4.216415910767475e-06	5.417319235740641e-07
1816	9.407037915869815e-06	3.684848073654783e-07	1.9156598877348837e-06	2.7080724862571515e-07	1.2748053807497075e-06	0.00013703948310908994	1.0163126457233115e-05	2.45521143098821e-09	3.375035930730519e-07	4.706638654689803e-06	5.628091668898248e-08	1.236900548714662e-06	3.3295427783741616e-05	4.460736948073775e-06	1.5264186328879857e-06	1.312497222118379e-05	1.3084417998600526e-06	1.2010414138785563e-05	3.709145955456604e-06	2.4207937039071634e-07	1.664490712625723e-06	4.796838441377207e-07	4.213570556592978e-06	5.747385500853852e-07
1817	9.46749540681984e-06	4.0549843609889127e-07	1.9999249291556353e-06	2.575000946438065e-07	1.3899699687109596e-06	0.00013902915608403937	1.0503753271353031e-05	3.48329673042055e-09	3.5966383344592554e-07	4.84941892864299e-06	5.538224355307518e-08	1.2923207545359868e-06	3.2363696975932855e-05	4.5487258830689825e-06	1.6243542566891328e-06	1.3300429990132606e-05	1.493363015470095e-06	1.194268367856109e-05	3.6741327481390077e-06	2.7043659502266693e-07	1.6898054907090097e-06	4.9394137948054e-07	4.411195050124661e-06	6.063798057961581e-07
1818	9.498318961829813e-06	4.359387284174383e-07	2.092179491748019e-06	2.388944255114568e-07	1.4823758647253271e-06	0.00013993769659594233	1.1171125152031891e-05	2.4904117656987523e-09	3.567285123803491e-07	4.8189669671826e-06	5.483154349609062e-08	1.4001895546503614e-06	3.1209410995610855e-05	4.721422036319771e-06	1.743963009305714e-06	1.3135952810573923e-05	1.733115579684506e-06	1.1753119646787777e-05	3.600418202560312e-06	2.9840657386362833e-07	1.6347894578367622e-06	4.6492328514042516e-07	4.478351684156223e-06	6.6424957318694e-07
1819	9.620675622759986e-06	4.7116128598645446e-07	2.250053187578617e-06	2.579467600786042e-07	1.5505132588649367e-06	0.0001373198943578505	1.1321083158171469e-05	2.313590160721698e-09	3.54164484406283e-07	4.988881171032387e-06	5.2966060236160824e-08	1.447612297462391e-06	3.0667100093393985e-05	4.930298668373975e-06	1.8187664636570844e-06	1.3302849246039322e-05	1.8752169158428193e-06	1.1263118852054634e-05	3.605447643297209e-06	3.2002279429629456e-07	1.6633719529376582e-06	4.51794213469319e-07	4.782331188835087e-06	6.913647934782472e-07
