	Abraham Lincoln	Nelson Mandela	John F. Kennedy	Winston Churchill	Mahatma Gandhi	Charles Darwin	Albert Einstein	Jawaharlal Nehru	Vincent Van Gogh	Franklin D. Roosevelt	Thomas Edison	Rosa Parks	Lyndon Johnson	Indira Gandhi	George Orwell	Jesse Owens	Joseph Stalin	Vladimir Lenin	Ingrid Bergman	Leo Tolstoy	Pablo Picasso	Oscar Wilde	Coco Chanel	Charles de Gaulle	John M. Keynes	Louis Pasteur	Adolf Hitler	Alfred Hitchcock	Ronald Reagan	Babe Ruth	Sigmund Freud	Woodrow Wilson	Mao Zedong	Katherine Hepburn
10	1.6952999575587617e-08	8.675589572134815e-10	2.9261242889028997e-08	8.83045700053994e-09	3.7993579710920196e-10	1.2032215065563686e-08	2.3480791319244585e-09	3.2460408329524982e-09	0.0	1.2326618694023596e-08	8.631630291474782e-10	1.9242893191582867e-10	3.5398854482591805e-10	1.0017235374526479e-09	2.937371367964633e-10	1.326690313163681e-09	4.506590259697621e-10	0.0	1.961709271215893e-09	7.9749838479058e-10	2.0472732834405808e-10	5.825191717878653e-10	0.0	2.6070112735254725e-10	0.0	1.939626784582974e-09	1.1849610816381885e-09	1.4145516900678145e-09	1.2696288246928843e-09	2.5893872462878775e-10	2.529684557066909e-10	8.630618124933725e-10	5.193542064661574e-10	9.598771876546358e-11
11	1.764063872755628e-08	8.446340373145591e-10	3.2983492572112386e-08	8.649388507007773e-09	4.4252316097218424e-10	1.097879726812729e-08	2.7421401696933347e-09	3.6531994552462574e-09	0.0	1.2230272009424884e-08	8.188407650346261e-10	7.954122459891926e-10	3.536085987513157e-10	1.6258949980014442e-09	3.353209446221861e-10	1.0412697886470162e-09	2.367336406271038e-10	0.0	1.961709271215893e-09	7.9749838479058e-10	1.7712430926725935e-10	1.4292931520871425e-10	0.0	2.3860935449704357e-10	0.0	1.939626784582974e-09	1.2021242533157205e-09	1.2235145832991838e-09	2.255815837697612e-09	3.7679720157493945e-10	2.529684557066909e-10	1.1728887067923616e-09	6.051577889592302e-11	6.945063869239526e-11
12	1.5979666415485586e-08	9.739403807250214e-10	3.1206988168211835e-08	1.0132501948589834e-08	1.1332873687105609e-09	1.2047471433161507e-08	3.3995130559778222e-09	3.228663418960601e-09	0.0	1.0373253962152923e-08	5.773370591123848e-10	7.762725739990373e-10	4.5015452476704354e-10	1.5145388831960815e-09	3.87093871837393e-10	1.2050597781548029e-09	2.367336406271038e-10	0.0	2.026045997638448e-09	5.607951563441865e-10	1.5089190611280604e-10	8.59673249253845e-10	0.0	4.280105476388891e-10	0.0	1.939626784582974e-09	1.3113562240065134e-09	1.1870568892925958e-09	1.6895271550846199e-09	3.907097215205546e-10	2.529684557066909e-10	1.716902635935063e-09	6.051577889592302e-11	6.945063869239526e-11
13	1.6909931613692412e-08	1.0237833041643845e-09	3.225353508083474e-08	1.0769152173192457e-08	1.9043687896466312e-09	1.0931428175352056e-08	3.564149150417758e-09	3.27771484854538e-09	0.0	5.427423074458712e-09	5.773370591123848e-10	9.3686607479818e-10	3.946069463253313e-10	1.5145388831960815e-09	3.1105220879171624e-10	1.319922770288378e-09	2.7321032737757736e-10	3.056077018432595e-11	2.026045997638448e-09	5.607951563441865e-10	1.5089190611280604e-10	1.2303648219294923e-09	0.0	4.68945422176554e-10	0.0	2.019740374947787e-09	1.622015278043446e-09	1.3700800573422457e-09	3.5680520462813956e-09	4.004957199210679e-10	2.529684557066909e-10	1.670540420281189e-09	6.051577889592302e-11	1.514479315765728e-11
14	1.466049402511414e-08	1.2259696353338662e-09	1.6695477127776874e-08	1.0787092108444085e-08	2.423901872867467e-09	8.650310531369395e-09	3.0265658788687843e-09	2.9914288972508552e-09	0.0	5.425441104315151e-09	1.0124162619362664e-10	9.584563757737895e-10	3.718720248402363e-09	1.7242893541562815e-09	3.377912879964917e-10	1.0512872754870578e-09	2.7321032737757736e-10	3.056077018432595e-11	4.245701409491939e-10	5.8087534782202965e-11	9.954411897946817e-11	1.4011864644748938e-09	5.2942896098885834e-11	4.3179191174961117e-10	0.0	1.9524911449535817e-09	2.1331020798915593e-09	1.3902978926846492e-09	3.838355363708754e-09	3.187537892365303e-10	3.334509969730805e-10	2.3948832916786955e-09	6.051577889592302e-11	1.514479315765728e-11
15	1.1125555080379205e-08	1.6891153872425742e-09	1.472461961883807e-08	1.060453223646261e-08	2.5109602175277246e-09	9.56820248429072e-09	2.9054593255116247e-09	8.923974723867062e-10	0.0	4.983571452335919e-09	2.0752485444372074e-10	9.584563757737895e-10	3.5312010577508754e-09	1.5351595312423122e-09	4.474719860520742e-10	1.1061474989938957e-09	1.1542749296061011e-10	3.056077018432595e-11	4.245701409491939e-10	5.8087534782202965e-11	0.0	1.4234199295439153e-09	5.2942896098885834e-11	4.122527716024901e-10	0.0	1.9524911449535817e-09	1.1894722072382434e-09	1.4039028986953132e-09	4.711842646213224e-09	3.9721809571727617e-10	3.334509969730805e-10	3.3871685615035776e-09	6.051577889592302e-11	2.292491989892247e-11
16	1.029242659354525e-08	1.6891153872425742e-09	1.6617032067805278e-08	1.1477878710966901e-08	2.627878755870735e-09	9.773685733754128e-09	1.9444199464821057e-09	8.870800155943595e-10	0.0	3.965178241305267e-09	1.6014507973695557e-10	8.438317802442593e-10	4.528442648643605e-09	1.5801595904767802e-09	4.062168974210729e-10	1.2643973883769937e-09	8.420094185382761e-11	3.056077018432595e-11	4.0483806783088635e-10	5.8087534782202965e-11	1.0588579219777167e-10	2.147762800941422e-09	5.2942896098885834e-11	3.758249584555935e-10	0.0	1.9524911449535817e-09	1.1959674877421683e-09	1.3707907824717885e-09	4.357714300518012e-09	3.671134547149941e-10	3.334509969730805e-10	3.5432557681553637e-09	6.051577889592302e-11	4.624777545052845e-11
17	1.1975811834271814e-08	9.52641731372899e-10	1.7079389712039627e-08	1.6991174816333958e-08	2.627878755870735e-09	1.0686713355515361e-08	1.6512943274664999e-09	8.84517102419023e-10	0.0	1.9548008846546695e-09	1.6014507973695557e-10	8.463701941677623e-10	5.839047225889413e-09	1.8789306618519473e-09	4.891863620531162e-10	2.2238027808096916e-09	8.420094185382761e-11	3.056077018432595e-11	4.104337028972996e-10	5.8087534782202965e-11	1.2301598826893112e-10	2.2898478748066354e-09	5.2942896098885834e-11	4.197754802489787e-10	0.0	8.01135903648133e-11	1.2401644156057046e-09	1.1128325919492914e-09	1.5613309105917087e-08	3.944901984441275e-10	8.048254126638962e-11	3.6668676190692348e-09	0.0	1.1582277200819898e-10
18	9.47833868534888e-09	1.0322175772855706e-09	1.4054356789472422e-08	1.6694135851480496e-08	5.1687080488654095e-09	1.0301007983112446e-08	2.362145705227446e-09	9.841135922045957e-10	0.0	1.9217570788678172e-09	1.6014507973695557e-10	2.6830834181407985e-10	6.8348403444876536e-09	1.20580030087731e-09	5.125982931770373e-10	3.622864230834466e-09	8.606966984363901e-10	3.056077018432595e-11	7.405487175863154e-10	5.8087534782202965e-11	1.2301598826893112e-10	2.5239786847843148e-09	5.2942896098885834e-11	4.334999353531163e-10	0.0	8.01135903648133e-11	1.3482139254212505e-09	1.0753533658774168e-09	1.4869860691974729e-08	5.0743156105553e-10	2.6973447285273874e-10	4.181222336617298e-09	0.0	1.3766618202547066e-10
19	9.48114697862934e-09	1.0094846427031813e-09	1.3681679725660193e-08	1.7234284095073756e-08	4.631987206492129e-09	9.028858866904394e-09	1.807553999334997e-09	1.3327301355757294e-09	0.0	2.053895490191796e-09	2.0230648902140403e-10	2.6893008058565774e-10	6.76789855903946e-09	1.2929087483166362e-09	1.4533509277000638e-09	8.099646287007545e-09	8.606966984363901e-10	3.056077018432595e-11	7.608914609491535e-10	1.738437647804046e-10	1.4017915994646302e-10	2.62470325632488e-09	8.564384915540505e-11	4.2325184726069564e-10	0.0	4.1462692802949977e-10	1.270118589667492e-09	1.2439955454635054e-09	1.501693594871004e-08	1.0351079100999273e-09	2.6973447285273874e-10	3.8124973495661556e-09	0.0	2.4647362127451697e-10
